"country","fempresvictory","year"
"Argentina",0,1999
"Argentina",0,2003
"Argentina",1,2007
"Argentina",1,2011
"Argentina",0,2015
"Argentina",0,2019
"Bolivia",0,1997
"Bolivia",0,2002
"Bolivia",0,2005
"Bolivia",0,2009
"Bolivia",0,2014
"Bolivia",0,2019
"Brazil",0,1998
"Brazil",0,2002
"Brazil",0,2006
"Brazil",1,2010
"Brazil",1,2014
"Brazil",0,2018
"Chile",0,1999
"Chile",1,2005
"Chile",0,2009
"Chile",1,2013
"Chile",0,2017
"Colombia",0,1998
"Colombia",0,2002
"Colombia",0,2006
"Colombia",0,2010
"Colombia",0,2014
"Costa Rica",0,1998
"Costa Rica",0,2002
"Costa Rica",0,2006
"Costa Rica",1,2010
"Costa Rica",0,2014
"Costa Rica",0,2018
"Dominican Republic",0,2000
"Dominican Republic",0,2004
"Dominican Republic",0,2008
"Dominican Republic",0,2012
"Dominican Republic",0,2016
"Ecuador",0,1998
"Ecuador",0,2002
"Ecuador",0,2006
"Ecuador",0,2009
"Ecuador",0,2013
"Ecuador",0,2019
"El Salvador",0,1994
"El Salvador",0,1999
"El Salvador",0,2004
"El Salvador",0,2009
"El Salvador",0,2014
"El Salvador",0,2019
"Guatemala",0,1990
"Guatemala",0,1995
"Guatemala",0,1999
"Guatemala",0,2003
"Guatemala",0,2007
"Guatemala",0,2011
"Guatemala",0,2015
"Guatemala",0,2019
"Honduras",0,1993
"Honduras",0,1997
"Honduras",0,2001
"Honduras",0,2005
"Honduras",0,2009
"Honduras",0,2013
"Honduras",0,2017
"Mexico",0,2000
"Mexico",0,2006
"Mexico",0,2012
"Mexico",0,2018
"Nicaragua",1,1990
"Nicaragua",0,1996
"Nicaragua",0,2001
"Nicaragua",0,2006
"Nicaragua",0,2011
"Nicaragua",0,2016
"Panama",0,1994
"Panama",1,1999
"Panama",0,2004
"Panama",0,2009
"Panama",0,2014
"Paraguay",0,1993
"Paraguay",0,1998
"Paraguay",0,2003
"Paraguay",0,2008
"Paraguay",0,2013
"Paraguay",0,2019
"Peru",0,2001
"Peru",0,2006
"Peru",0,2011
"Peru",0,2016
"Uruguay",0,1994
"Uruguay",0,1999
"Uruguay",0,2004
"Uruguay",0,2009
"Uruguay",0,2014
"Uruguay",0,2019
"Venezuela",0,1993
"Venezuela",0,1998
"Venezuela",0,2000
"Venezuela",0,2006
