sexo;pueblo;n;codigo_comuna;nombre_comuna;codigo_region;nombre_region;año;poblacion_total;orden_region
Hombres;Mapuche;4094;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Aymara;27075;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Rapa Nui;19;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Lican Antai;353;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Quechua;1156;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Colla;152;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Diaguita;915;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Kawésqar;14;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Yagán o Yámana;5;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Otro;2202;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Pueblo Ignorado;540;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Mapuche;3596;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Aymara;29752;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Rapa Nui;19;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Lican Antai;387;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Quechua;1348;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Colla;156;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Diaguita;972;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Kawésqar;12;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Yagán o Yámana;3;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Otro;2614;15101;Arica;15;Arica y Parinacota;2017;232628;1
Mujeres;Pueblo Ignorado;499;15101;Arica;15;Arica y Parinacota;2017;232628;1
Hombres;Mapuche;25;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Aymara;394;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Rapa Nui;0;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Lican Antai;2;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Quechua;11;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Colla;0;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Diaguita;6;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Kawésqar;0;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Yagán o Yámana;0;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Otro;9;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Hombres;Pueblo Ignorado;8;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Mujeres;Mapuche;9;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Mujeres;Aymara;396;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Mujeres;Rapa Nui;0;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Mujeres;Lican Antai;1;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Mujeres;Quechua;10;15102;Camarones;15;Arica y Parinacota;2017;1218;1
Mujeres;Colla;0;15102;Camarones;15;Arica y Parinacota;2017;1218;1
